time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-30 00:00:00+00:00,23,6,0,0
2026-05-01 00:00:00+00:00,13,3,0,0
2026-05-02 00:00:00+00:00,7,3,0,0
2026-05-03 00:00:00+00:00,18,7,0,0
2026-05-04 00:00:00+00:00,27,8,0,0
2026-05-05 00:00:00+00:00,28,8,0,0
2026-05-06 00:00:00+00:00,28,8,0,0
2026-05-07 00:00:00+00:00,11,5,0,0
2026-05-08 00:00:00+00:00,13,5,0,0
2026-05-09 00:00:00+00:00,16,7,0,0
2026-05-10 00:00:00+00:00,10,5,0,0
2026-05-11 00:00:00+00:00,29,7,0,0
2026-05-12 00:00:00+00:00,9,5,0,0
2026-05-13 00:00:00+00:00,15,4,0,0
